periodo,momento,nrc,programa_codigo,programa_nombre,asignatura
202621,MD2,21-70265,Contaduría Pública Distancia - Centro,Contaduría Pública Distancia - Centro,Legislación en Seguridad y Sal
202621,MD2,21-70266,Posgrados - Centro,Posgrados - Centro,Medicina Preventiva y del Trab
202621,MD2,21-70267,Posgrados - Centro,Posgrados - Centro,Auditoría y Costos en Segurida
202621,MD1,21-70268,Administración de Empresas - Centro,Administración de Empresas - Centro,Competencias Gerenciales
202621,MD1,21-70270,Posgrados - Centro,Posgrados - Centro,Ergonomía Laboral
202621,MD2,21-70272,EGRL,ES GCIA RIES LBLES SALUD TRAB,Gestión en Seguridad y Salud E
202621,MD1,21-70274,Contaduría Pública Distancia - Centro,Contaduría Pública Distancia - Centro,Marco regulatorio
202621,MD2,21-70275,Contaduría Pública Distancia - Centro,Contaduría Pública Distancia - Centro,Preve judicia Crim Económico
202621,MD1,21-70277,Posgrados - Centro,Posgrados - Centro,Conta Audi Foren aplica admini
202621,MD2,21-70278,Contaduría Pública Distancia - Centro,Contaduría Pública Distancia - Centro,Tipologías del Delito Económic
202621,MD2,21-70280,Posgrados - Centro,Posgrados - Centro,Electiva 1
202621,MD1,21-70281,Posgrados - Centro,Posgrados - Centro,Gestión del riesgo
202621,MD1,21-70282,Posgrados - Centro,Posgrados - Centro,Planeación de la Auditoría For
202621,MD2,21-70284,Posgrados - Centro,Posgrados - Centro,Ejecuci reportes audito forens
202621,MD2,21-70285,Posgrados - Centro,Posgrados - Centro,Tecn procesos Auditoria forens
202621,MD2,21-70286,EAFO,Especialización en Auditoría F,Electiva 2
202621,1,21-70288,Posgrados - Centro,Posgrados - Centro,Proyecto de grado
202621,MD1,21-79292,Posgrados - Centro,Posgrados - Centro,Elect Investig de Acciden Trab
202621,1,21-79294,Posgrados - Centro,Posgrados - Centro,Metodología de la Investigació
202621,1,21-79312,Posgrados - Centro,Posgrados - Centro,Opción de Grado
202621,MD1,21-79332,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Creatividad e Innovación Empre
202621,MD1,21-79333,Administración en Seguridad y Salud en el Trabajo - Sur,Administración en Seguridad y Salud en el Trabajo - Sur,Investigación I
202621,1,21-79334,MGIP,MS Gerencia Innovación Proyect,Gestión Conocimiento Tecnologí
202621,MD2,21-79335,Administración en Seguridad y Salud en el Trabajo - Sur,Administración en Seguridad y Salud en el Trabajo - Sur,Investigación II
202621,MD1,21-79336,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Investigación I
202621,MD2,21-79337,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Innovación y Modelos de Negoci
202621,MD2,21-79338,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Investigación II
202621,MD1,21-79555,Administración de Empresas - Centro,Administración de Empresas - Centro,Direccionamiento Estratégico
202621,1,21-79556,EGPR,ESP EN GERENCIA DE PROYECTOS,Electiva I
202621,1,21-79557,Posgrados - Sur,Posgrados - Sur,Metodologia de la Investigació
202621,1,21-79558,EGPR,ESP EN GERENCIA DE PROYECTOS,Formulación de Proyectos
202621,1,21-79559,Posgrados - Sur,Posgrados - Sur,Evaluación de Proyectos
202621,MD1,21-79595,Administración en Seguridad y Salud en el Trabajo - Sur,Administración en Seguridad y Salud en el Trabajo - Sur,Investigación III
202621,MD2,21-79596,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Innovación y Modelos de Negoci
202621,MD1,21-79597,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Liderazgo para el cambio
202621,MD1,21-79598,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Modelos de Gestión Organizacio
202621,1,21-79599,MGIP,MS Gerencia Innovación Proyect,Gerencia de Proyectos
202621,1,21-79600,MGIP,MS Gerencia Innovación Proyect,Gerencia Estratégica
202621,MD1,21-79603,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Investigación III
